target,target_name,model_name,train_roc_auc,val_roc_auc,test_roc_auc,overfit_gap,test_pr_auc,test_f1,test_recall,test_precision,test_specificity,test_balanced_accuracy,brier_score_raw,brier_score_calibrated,ece_raw,ece_calibrated,optimal_threshold,confusion_matrix
target_vitamin_d_deficiency,Vitamin D Deficiency,Random Forest,0.9495182889940121,0.782903035080804,0.8240910254138861,0.125427263580126,0.5280895732986123,0.5504273504273505,0.6822033898305084,0.46131805157593125,0.7816492450638792,0.7319263174471938,0.17324847083115766,0.1335371101874625,0.1806012668741339,0.0482346181498067,0.5657677790872808,"{'tn': 673, 'fp': 188, 'fn': 75, 'tp': 161}"
target_vitamin_d_deficiency,Vitamin D Deficiency,Logistic Regression,0.8109018079977585,0.7735021679148602,0.810232484891435,0.000669323106323505,0.4916096891874314,0.5418439716312057,0.809322033898305,0.4072494669509595,0.6771196283391405,0.7432208311187227,0.185276875308878,0.13546943915692503,0.19989666680131707,0.03457765329288216,0.5117949429259375,"{'tn': 583, 'fp': 278, 'fn': 45, 'tp': 191}"
target_vitamin_d_insufficiency,Vitamin D Insufficiency,XGBoost,0.9191778959279667,0.8398414371017111,0.8158632942166536,0.10331460171131313,0.8213824697748527,0.7869339272457313,0.9044368600682594,0.6964520367936925,0.547945205479452,0.7261910327738557,0.17382551729679108,0.17429964244365692,0.038205781488007816,0.03834741783337694,0.3825010657310486,"{'tn': 280, 'fp': 231, 'fn': 56, 'tp': 530}"
target_vitamin_d_insufficiency,Vitamin D Insufficiency,LightGBM,0.9242166404324081,0.8370950206566645,0.8129946634785572,0.11122197695385094,0.8226529360623351,0.7809110629067245,0.9215017064846417,0.6775407779171895,0.49706457925636005,0.7092831428705009,0.17496248773149353,0.1760169340016445,0.03200718836691179,0.040610310550745495,0.33808195911062644,"{'tn': 254, 'fp': 257, 'fn': 46, 'tp': 540}"
target_vitamin_d_insufficiency,Vitamin D Insufficiency,Random Forest,0.9261315492501152,0.8250154715908141,0.8042551912531809,0.1218763579969343,0.8075723955911746,0.778021978021978,0.9061433447098977,0.6816431322207959,0.5146771037181996,0.7104102242140486,0.1810283060950947,0.17964273107689635,0.05442265001837598,0.04745765998358114,0.4106578174216749,"{'tn': 263, 'fp': 248, 'fn': 55, 'tp': 531}"
target_vitamin_d_insufficiency,Vitamin D Insufficiency,Logistic Regression,0.8240748294773199,0.8215699065014133,0.799676736373169,0.024398093104150864,0.7891585143898959,0.7721423164269493,0.8703071672354948,0.6938775510204082,0.5596868884540117,0.7149970278447533,0.18118232728646194,0.18139700647390689,0.03808615906062486,0.03684735428111225,0.40487976666962067,"{'tn': 286, 'fp': 225, 'fn': 76, 'tp': 510}"
target_folate_deficiency,Folate Deficiency,XGBoost,0.9677514232973042,0.690531231217347,0.7030080367393801,0.2647433865579242,0.2088552172139195,0.2745762711864407,0.6230769230769231,0.17608695652173914,0.6228855721393035,0.6229812476081134,0.15490633249282837,0.09682916849851608,0.20458145490170576,0.022413847080148784,0.3769359886646271,"{'tn': 626, 'fp': 379, 'fn': 49, 'tp': 81}"
target_folate_deficiency,Folate Deficiency,LightGBM,0.8036284018253232,0.6375236950390678,0.6911978568694988,0.1124305449558245,0.2129685603237514,0.2602040816326531,0.7846153846153846,0.1559633027522936,0.4507462686567164,0.6176808266360505,0.09919811196044967,0.10095590010747495,0.028974153091145472,0.001014164447802307,0.1391034212076436,"{'tn': 453, 'fp': 552, 'fn': 28, 'tp': 102}"
target_folate_deficiency,Folate Deficiency,Random Forest,0.9634437509798188,0.6964569174102672,0.7122617680826635,0.2511819828971553,0.2331411026128803,0.285140562248996,0.5461538461538461,0.19293478260869565,0.7044776119402985,0.6253157290470723,0.17669668863527446,0.09600001323965011,0.26145216249817266,0.02032192472355969,0.4916394395608094,"{'tn': 708, 'fp': 297, 'fn': 59, 'tp': 71}"
target_folate_deficiency,Folate Deficiency,Logistic Regression,0.7591227319399072,0.6722764190053477,0.6731496364332186,0.08597309550668863,0.1993870893199147,0.2621184919210054,0.5615384615384615,0.17096018735362997,0.6477611940298508,0.6046498277841561,0.20894700144044437,0.09780023096624534,0.296484401101524,0.01106404382804079,0.5068184742288078,"{'tn': 651, 'fp': 354, 'fn': 57, 'tp': 73}"
