target,target_name,model_name,role,optimal_threshold,test_roc_auc,test_pr_auc,test_brier_score,test_precision_opt,test_recall_opt,test_f1_opt,test_f2_opt,test_specificity,test_precision_default_05,test_recall_default_05,test_f1_default_05,confusion_matrix,calibration
target_vitamin_d_insufficiency,Vitamin D Insufficiency,LightGBM,Champion,0.33808195911062644,0.8129946634785572,0.8226529360623351,0.17496248773149353,0.6775407779171895,0.9215017064846417,0.7809110629067245,0.8595988538681948,0.49706457925636005,0.7223088923556942,0.7901023890784983,0.7546862265688672,"{'tn': 254, 'fp': 257, 'fn': 46, 'tp': 540}","{'prob_true': [0.11627906976744186, 0.3263888888888889, 0.5487804878048781, 0.6757679180887372, 0.9095477386934674], 'prob_pred': [0.07712540191812524, 0.31584946393492674, 0.5155437337678925, 0.7018298319789124, 0.8624935296753312]}"
target_vitamin_d_insufficiency,Vitamin D Insufficiency,XGBoost,Challenger,0.3825010657310486,0.8158632942166536,0.8213824697748527,0.17382551729679108,0.6964520367936925,0.9044368600682594,0.7869339272457313,0.8534621578099839,0.547945205479452,0.730829420970266,0.7969283276450512,0.7624489795918368,"{'tn': 280, 'fp': 231, 'fn': 56, 'tp': 530}","{'prob_true': [0.12796208530805686, 0.28368794326241137, 0.5344129554655871, 0.6938110749185668, 0.9109947643979057], 'prob_pred': [0.08314774516457912, 0.30926097665272706, 0.5094526808271523, 0.7019196090558453, 0.8582272223777172]}"
target_vitamin_d_insufficiency,Vitamin D Insufficiency,CatBoost,Challenger,0.3780062969495777,0.8127074664547197,0.82387279067349,0.1757213960591498,0.6837944664031621,0.8856655290102389,0.7717472118959108,0.8362874637447631,0.5303326810176126,0.7214397496087637,0.7866894197952219,0.7526530612244898,"{'tn': 271, 'fp': 240, 'fn': 67, 'tp': 519}","{'prob_true': [0.12037037037037036, 0.3115942028985507, 0.5434782608695652, 0.677115987460815, 0.9072164948453608], 'prob_pred': [0.0805818256390232, 0.3126963373583873, 0.506513020219861, 0.700658577740234, 0.8607297544938765]}"
target_vitamin_d_insufficiency,Vitamin D Insufficiency,ElasticNet_LogisticRegression,Baseline,0.40487976666962067,0.799676736373169,0.7891585143898959,0.18118232728646194,0.6938775510204082,0.8703071672354948,0.7721423164269493,0.8281909710945112,0.5596868884540117,0.71850699844479,0.78839590443686,0.7518307567127747,"{'tn': 286, 'fp': 225, 'fn': 76, 'tp': 510}","{'prob_true': [0.105, 0.34810126582278483, 0.5042016806722689, 0.7386018237082067, 0.8546511627906976], 'prob_pred': [0.07635742048710166, 0.2998082006294734, 0.5124364751379985, 0.706615389145443, 0.857947212306347]}"
target_folate_deficiency,Folate Deficiency,LightGBM,Champion,0.1391034212076436,0.6911978568694988,0.2129685603237514,0.09919811196044967,0.1559633027522936,0.7846153846153846,0.2602040816326531,0.434412265758092,0.4507462686567164,0.0,0.0,0.0,"{'tn': 453, 'fp': 552, 'fn': 28, 'tp': 102}","{'prob_true': [0.1147396293027361, 0.0], 'prob_pred': [0.14340966274853284, 0.20125793218075855]}"
target_folate_deficiency,Folate Deficiency,XGBoost,Challenger,0.3769359886646271,0.7030080367393801,0.2088552172139195,0.15490633249282837,0.17608695652173914,0.6230769230769231,0.2745762711864407,0.413265306122449,0.6228855721393035,0.19730941704035873,0.3384615384615385,0.24929178470254956,"{'tn': 626, 'fp': 379, 'fn': 49, 'tp': 81}","{'prob_true': [0.016853932584269662, 0.12912087912087913, 0.15960912052117263, 0.25961538461538464, 0.25], 'prob_pred': [0.07895733946358806, 0.3074216913882193, 0.4820899364420179, 0.6814571349666669, 0.8291197121143341]}"
target_folate_deficiency,Folate Deficiency,CatBoost,Challenger,0.4975085821739257,0.6978568694986607,0.2070969871179552,0.19837496504122418,0.17715617715617715,0.5846153846153846,0.27191413237924866,0.40042149631190727,0.6487562189054726,0.17966903073286053,0.5846153846153846,0.27486437613019893,"{'tn': 652, 'fp': 353, 'fn': 54, 'tp': 76}","{'prob_true': [0.004310344827586207, 0.07407407407407407, 0.14575645756457564, 0.21052631578947367, 0.0], 'prob_pred': [0.11755214528444542, 0.32128817699194345, 0.496191727264617, 0.6532501002450233, 0.8087672081561357]}"
target_folate_deficiency,Folate Deficiency,ElasticNet_LogisticRegression,Baseline,0.5068184742288078,0.6731496364332186,0.1993870893199147,0.20894700144044437,0.17096018735362997,0.5615384615384615,0.2621184919210054,0.38542766631467795,0.6477611940298508,0.17040358744394618,0.5846153846153846,0.2638888888888889,"{'tn': 651, 'fp': 354, 'fn': 57, 'tp': 73}","{'prob_true': [0.00823045267489712, 0.10431654676258993, 0.14136125654450263, 0.18446601941747573, 0.2692307692307692], 'prob_pred': [0.10035811665996842, 0.31323430816702064, 0.5041255734950588, 0.6821593585640857, 0.8439553189273602]}"
target_magnesium_deficiency,Magnesium Deficiency,LightGBM,Champion,0.11610569025917454,0.6109755447102435,0.1315739011307623,0.08290528334528371,0.12098765432098765,0.5632183908045977,0.1991869918699187,0.3253652058432935,0.5870069605568445,0.0,0.0,0.0,"{'tn': 506, 'fp': 356, 'fn': 38, 'tp': 49}","{'prob_true': [0.0916754478398314], 'prob_pred': [0.10922835892324508]}"
target_magnesium_deficiency,Magnesium Deficiency,XGBoost,Challenger,0.3990107774734497,0.6557057897965171,0.16646931544525637,0.16849784553050995,0.14206128133704735,0.5862068965517241,0.22869955156950672,0.3606789250353607,0.642691415313225,0.16666666666666666,0.3793103448275862,0.23157894736842105,"{'tn': 554, 'fp': 308, 'fn': 36, 'tp': 51}","{'prob_true': [0.024096385542168676, 0.06679764243614932, 0.12727272727272726, 0.19753086419753085, 0.0], 'prob_pred': [0.1738681289625455, 0.29518287176584684, 0.4887898701971227, 0.6515983063497661, 0.8041889071464539]}"
